1,1,1,0
2,2,1,1
3,1,2,1
4,2,2,2
5,2,2,3
6,2,2,4
7,1,3,4
8,2,3,5
9,2,3,6
10,2,3,7
11,2,3,8
12,2,3,9
13,1,4,9
14,2,4,10
15,2,4,11
16,2,4,12
17,2,4,13
18,1,5,13
19,2,5,14
20,2,5,15
21,1,6,15
22,1,7,15
23,2,7,16
1,2,0,1
2,2,0,2
3,2,0,3
4,2,0,4
5,2,0,5
6,2,0,6
7,2,0,7
8,2,0,8
9,2,0,9
10,2,0,10
11,2,0,11
12,2,0,12
13,2,0,13
14,2,0,14
15,2,0,15
16,2,0,16
17,2,0,17
18,2,0,18
19,2,0,19
20,2,0,20
21,2,0,21
22,2,0,22
23,2,0,23
24,2,0,24
25,2,0,25
26,2,0,26
27,2,0,27
28,2,0,28
29,2,0,29
30,2,0,30
31,2,0,31
32,2,0,32
33,2,0,33
34,2,0,34
35,2,0,35
36,2,0,36
37,2,0,37
38,2,0,38
39,2,0,39
40,2,0,40
41,2,0,41
42,2,0,42
43,2,0,43
44,2,0,44
45,2,0,45
46,2,0,46
47,2,0,47
48,2,0,48
49,2,0,49
50,2,0,50
51,2,0,51
52,2,0,52
53,2,0,53
54,2,0,54
55,2,0,55
56,2,0,56
57,2,0,57
58,2,0,58
59,2,0,59
60,2,0,60
